File Name,Time [MJD],RV [m/s],RV [m/s] (raw),RV [m/s] (correction),RV Err. [m/s],Exp. Time [s],Airmass,Quality,Start Time [MJD],BERV [km/s],Time [eMJD],Instrument,CCF FWHM [km/s],CCF FWHM [km/s] (raw),CCF FWHM [km/s] (correction),CCF FWHM Err. [km/s],CCF Contrast,CCF Contrast (raw),CCF Contrast Err.,BIS [m/s],H-alpha Emission,CaII Emission
r.HARPS.2021-05-26T14:04:45.390_S2D_BLAZE_A.fits,59360.58176806988,572.578,557.4157164338624,15.162283566137692,0.005,29.9965,2.18956838052748,0.9998187918467693,59360.58663644676,-0.0807061046847588,,,7.265425782625279,7.038926079226223,1.799980959350709,0.0121277368807737,-8490486.654657481,-8763694.909346947,10033.362158105445,-23.633333332557015,0.1744950281950639,0.1032381229092476
r.HARPS.2021-05-26T14:05:46.393_S2D_BLAZE_A.fits,59360.58247761009,573.45,558.2877578062814,15.162242193718567,0.005,29.9965,2.17881774257736,0.9998272231833264,59360.58734251157,-0.0820173937026223,,,7.263142842965689,7.036569813464521,1.7999803381047226,0.0119813429774212,-8513436.93489567,-8787564.137345286,9940.884896276744,-23.3666666658906,0.1740629115554141,0.1020444436237392
r.HARPS.2021-05-26T14:06:47.377_S2D_BLAZE_A.fits,59360.58317996003,573.2270000000001,558.0647987594444,15.162201240555607,0.005,29.9965,2.16823462242007,0.9998306380762176,59360.58804833333,-0.0833232607042771,,,7.2639278635261135,7.037380265606334,1.799979723154007,0.0122662005461529,-8537263.63014804,-8812095.52713539,10204.49541857747,-24.099999999223854,0.1751368055248314,0.1019670305179627
r.HARPS.2021-05-26T14:07:48.379_S2D_BLAZE_A.fits,59360.58388948999,573.382,558.2198401312661,15.162159868733825,0.005,29.9966,2.15780887155356,0.9998388392708184,59360.588754386576,-0.0846438197692521,,,7.262250345939005,7.035648891165277,1.7999791019164681,0.01225687834413,-8560029.354728619,-8835727.465122253,10226.146587414658,-25.38333333255638,0.1736797478376746,0.1021974882017419
r.HARPS.2021-05-26T14:08:49.442_S2D_BLAZE_A.fits,59360.584592760075,572.619,557.4568811380818,15.162118861918243,0.005,29.9965,2.1475310143055,0.9998433977349072,59360.58946113426,-0.0859605187141432,,,7.2637723039773485,7.037220014564773,1.7999784861595927,0.0121769666567056,-8582801.864171987,-8859111.743339939,10184.113876689296,-25.56666666588958,0.1755079105889522,0.1024271277109718
r.HARPS.2021-05-26T14:09:50.336_S2D_BLAZE_A.fits,59360.58529753983,573.848,558.6859222329244,15.162077767075425,0.005,29.9965,2.13743646899767,0.9998521510109318,59360.59016591435,-0.0872828396922662,,,7.2623282441292245,7.035729613643277,1.7999778690806425,0.0122464151919878,-8608261.851958912,-8885506.779441029,10274.336727358404,-24.84999999922333,0.1740914841908464,0.1046006029263262
r.HARPS.2021-05-26T14:10:51.349_S2D_BLAZE_A.fits,59360.58600720018,573.893,558.730963612349,15.162036387651048,0.005,29.9965,2.12747401041796,0.9998570201108152,59360.59087209491,-0.0886173142155775,,,7.264184609849647,7.037645909935894,1.799977247728165,0.0122279200869784,-8632590.741204591,-8910470.007713158,10283.870946827928,-25.683333332556344,0.1743901291631211,0.1029100417184161
r.HARPS.2021-05-26T14:11:52.403_S2D_BLAZE_A.fits,59360.5867103599,573.612,558.4500046127296,15.161995387270519,0.005,29.9966,2.11765489518062,0.9998593421150528,59360.59157872685,-0.0899473824993648,,,7.262882855577991,7.036302402388696,1.7999766320671438,0.0122522412430735,-8655823.805691862,-8934555.498626854,10333.27681921629,-24.43333333255715,0.1737400477282905,0.1027829602325294
r.HARPS.2021-05-26T14:12:53.376_S2D_BLAZE_A.fits,59360.58741954016,573.536,558.3740459641599,15.161954035839994,0.005,29.9965,2.10799545284927,0.9998651840489656,59360.59228443287,-0.0912898211422244,,,7.262031838860653,7.035424137034396,1.7999760111344998,0.0122375681074495,-8680715.809746098,-8960317.582366819,10351.700957458395,-25.94999999922365,0.1746722087241246,0.1046996293557814
r.HARPS.2021-05-26T14:13:54.339_S2D_BLAZE_A.fits,59360.58812513016,573.123,557.9610871062475,15.161912893752458,0.005,29.9965,2.09848168109988,0.9998681289231106,59360.59299002315,-0.0926316432248255,,,7.262227975180418,7.035626748687374,1.79997539334509,0.0123275532341194,-8703028.064103888,-8983332.421337914,10454.29073262543,-27.149999999223073,0.1738703678244468,0.1037840200250616
r.HARPS.2021-05-26T14:14:55.362_S2D_BLAZE_A.fits,59360.58882794017,574.502,559.3401280862367,15.161871913763186,0.005,29.9965,2.08910030754086,0.999870896427006,59360.59369630787,-0.0939743144663618,,,7.261469100065496,7.034843586733659,1.7999747779894886,0.012253048040739,-8725255.874625066,-9006337.545760933,10418.912675723945,-24.016666665890863,0.1743216578920348,0.1053104707886417
r.HARPS.2021-05-26T14:15:56.416_S2D_BLAZE_A.fits,59360.58953804989,574.1,558.938169491863,15.161830508136992,0.005,29.9965,2.07985364128625,0.9998743464883996,59360.59440295139,-0.095331828437734,,,7.263130997475217,7.036559167899131,1.7999741562422618,0.0122282629843199,-8749999.649358097,-9031742.953441916,10423.954301579435,-26.24999999922295,0.1739694443275933,0.1028371105364183
r.HARPS.2021-05-26T14:16:57.339_S2D_BLAZE_A.fits,59360.590239710175,573.064,557.9022104048137,15.16178959518635,0.005,29.9965,2.07076347771359,0.999876363385662,59360.595108078705,-0.0966809662235115,,,7.26374346552612,7.037191512347755,1.7999735418928002,0.0123862046832312,-8770717.677420234,-9053077.936780669,10582.739821434345,-25.249999999223284,0.1743327981322092,0.1045488319113201
r.HARPS.2021-05-26T14:17:58.342_S2D_BLAZE_A.fits,59360.59094924014,573.5780000000001,558.4162517766355,15.16174822336457,0.005,29.9966,2.06179582298111,0.9998784459051618,59360.59581413194,-0.0980461893505378,,,7.264525805583668,7.037999194722046,1.7999729206526611,0.0123085422501306,-8794863.883138265,-9077937.332468957,10543.69763613412,-24.06666666589008,0.1739062681397656,0.1030520698275022
r.HARPS.2021-05-26T14:18:59.385_S2D_BLAZE_A.fits,59360.59165576007,573.393,558.2312929729459,15.161707027054211,0.005,29.9965,2.05295452510581,0.9998794041354496,59360.596520659725,-0.0994116140041836,,,7.262669612228548,7.036083399750809,1.799972302047746,0.0124666530504966,-8816008.369285341,-9099914.319808776,10707.872436952235,-26.1833333325564,0.1757624073138302,0.1041657256807687
r.HARPS.2021-05-26T14:20:00.378_S2D_BLAZE_A.fits,59360.59235823015,574.187,559.0253339331141,15.161666066886001,0.005,29.9965,2.04425064843977,0.999878067236786,59360.59722659722,-0.100775009446343,,,7.261613295810094,7.034993218470487,1.799971686988492,0.0124512131198068,-8826046.942797935,-9110362.70241067,10707.341773254955,-23.199999999224396,0.1742375290604375,0.1016086916739197
r.HARPS.2021-05-26T14:21:01.371_S2D_BLAZE_A.fits,59360.59306763997,573.956,558.7943752979305,15.161624702069473,0.005,29.9966,2.03567457967883,0.999881036978642,59360.59793253472,-0.102152999616554,,,7.261653621412016,7.035035002006679,1.7999710658527637,0.0123742139219685,-8854207.150642935,-9139426.513422968,10674.823035279536,-25.49999999922381,0.1741560028829102,0.1034792151343516
r.HARPS.2021-05-26T14:22:02.375_S2D_BLAZE_A.fits,59360.593770219944,573.448,558.2864162645066,15.161583735493357,0.005,29.9965,2.02722282464479,0.9998816051337696,59360.598638587966,-0.103525213863113,,,7.262039746731234,7.035433722218034,1.7999704506967733,0.0122589969582565,-8870123.450215092,-9155823.44986783,10592.983506672585,-24.14999999922396,0.1741439840878165,0.1011154290187377
r.HARPS.2021-05-26T14:23:03.358_S2D_BLAZE_A.fits,59360.59447256988,573.65,558.4884572176696,15.161542782330399,0.005,29.9965,2.01889744158958,0.9998821918960816,59360.599344409726,-0.10490105983476,,,7.263387853560073,7.036825399401575,1.7999698357419385,0.0124258514704284,-8885858.863905692,-9171954.06696185,10754.458176427015,-24.383333332556823,0.174113875329315,0.1040830130732813
r.HARPS.2021-05-26T14:24:04.361_S2D_BLAZE_A.fits,59360.5951855802,572.998,557.8364987924265,15.161501207573536,0.005,29.9965,2.01069081801551,0.9998820497908864,59360.60005047454,-0.106296862379229,,,7.262654542652188,7.036068635518551,1.799969211452955,0.0125302050001667,-8902561.785377353,-9189255.27039682,10865.569849501728,-25.666666665889792,0.1738130945220063,0.1025247696797488
r.HARPS.2021-05-26T14:25:05.355_S2D_BLAZE_A.fits,59360.59588804981,572.922,557.7605397525675,15.161460247432478,0.005,29.9965,2.00260531915749,0.9998828535720352,59360.60075641204,-0.107681386590671,,,7.260395341883679,7.033736814272047,1.7999685963928187,0.0122701821623828,-8921301.786601093,-9208786.118290477,10665.29522922826,-24.016666665891194,0.1749301722303383,0.104061960871267
r.HARPS.2021-05-26T14:26:06.377_S2D_BLAZE_A.fits,59360.59659432992,572.81,557.6485809348944,15.16141906510547,0.005,29.9965,1.99463364166011,0.999882762205037,59360.60146269676,-0.109075713731078,,,7.259137836260898,7.032438937098799,1.7999679779960673,0.0124309347078831,-8933402.903765026,-9221381.601080315,10821.44513132479,-25.1833333325574,0.1738620008917057,0.1037559651440171
r.HARPS.2021-05-26T14:27:07.381_S2D_BLAZE_A.fits,59360.59730385989,573.999,558.8376223067163,15.161377693283692,0.005,29.9965,1.98678046826698,0.999882929954905,59360.60216875,-0.110478810365952,,,7.2596917267669205,7.033010840480028,1.7999673567535868,0.0125514280606264,-8945143.147587067,-9233453.94685206,10939.802418891975,-25.016666665891197,0.1752785319903151,0.1033499967636695
r.HARPS.2021-05-26T14:28:08.384_S2D_BLAZE_A.fits,59360.59800643986,573.374,558.2126632732925,15.161336726707574,0.005,29.9965,1.97904133403894,0.999883196045322,59360.60287480324,-0.111875553253154,,,7.260959738927028,7.0343198718474085,1.7999667415960507,0.0124881943518252,-8957642.395804163,-9246250.096181404,10897.89125063658,-25.71666666588957,0.174467618721711,0.1044035667889343
r.HARPS.2021-05-26T14:29:09.347_S2D_BLAZE_A.fits,59360.59871551022,573.845,558.6837046183151,15.161295381684956,0.005,29.9965,1.97141928958478,0.9998838080837876,59360.60358040509,-0.113285921830802,,,7.2600469766945,7.033377856189973,1.7999661207554685,0.0125262785108582,-9006488.099511564,-9296745.892863885,10990.715277090128,-25.74999999922356,0.1757678616583039,0.1036061515372832
r.HARPS.2021-05-26T14:30:10.350_S2D_BLAZE_A.fits,59360.599425040185,572.592,557.4307459901369,15.161254009863175,0.005,29.9965,1.96390283595934,0.9998838389391764,59360.604286458336,-0.114701423206256,,,7.2587827599445305,7.032073048300458,1.799965499512207,0.01253009638921,-9032231.410949765,-9323424.998475686,11026.853221256975,-25.516666665890696,0.1746081825067557,0.104428231588198
r.HARPS.2021-05-26T14:31:11.334_S2D_BLAZE_A.fits,59360.60012392001,571.886,556.724786740962,15.16121325903795,0.005,29.9965,1.95649758872972,0.9998834619181298,59360.604992280096,-0.116104330984349,,,7.260195656580765,7.033531643155111,1.7999648875936356,0.0124198757842062,-9019340.524451768,-9309999.616561549,10912.667630218686,-25.483333332557255,0.1745548583002357,0.1033141861702865
r.HARPS.2021-05-26T14:32:12.327_S2D_BLAZE_A.fits,59360.60083332984,572.752,557.5908281057785,15.161171894221422,0.005,29.9965,1.94919821176838,0.9998838053057126,59360.605698217594,-0.117527423716222,,,7.258526147972958,7.03180847864133,1.799964266455046,0.0124874514370512,-9063382.476016162,-9355601.605343264,11027.072640061995,-25.516666665890476,0.1743936259071154,0.1049968056783056
r.HARPS.2021-05-26T14:33:13.350_S2D_BLAZE_A.fits,59360.601536139846,574.238,559.076869085768,15.16113091423215,0.005,29.9966,1.94200078756345,0.999884042179372,59360.60640450232,-0.118944559969597,,,7.259305854025333,7.032613478432034,1.799963651094807,0.0125422106084208,-9073668.408163039,-9366153.05175971,11087.776596356456,-25.183333332557844,0.1736062122561371,0.1031668065126795
r.HARPS.2021-05-26T14:34:14.453_S2D_BLAZE_A.fits,59360.60224334989,573.617,558.4559103223175,15.161089677682325,0.005,29.9965,1.93489810799982,0.9998841242037488,59360.60711171296,-0.120372549610581,,,7.259727680414176,7.033049059805483,1.7999630318817674,0.012600335900154,-9086560.435198748,-9379424.734596277,11152.559945710858,-23.34999999922471,0.1737275394424083,0.1012242679750902
r.HARPS.2021-05-26T14:35:15.406_S2D_BLAZE_A.fits,59360.602948839776,573.3040000000001,558.1429514585675,15.161048541432496,0.005,29.9966,1.92791506128277,0.9998844233133762,59360.607817199074,-0.121801152769775,,,7.259345431339089,7.03265464807298,1.7999624141745862,0.0125107474091806,-9099279.903504847,-9392586.342069732,11089.924319308697,-25.84999999922355,0.1755183192283778,0.1042638609125877
r.HARPS.2021-05-26T14:36:16.369_S2D_BLAZE_A.fits,59360.60365442978,573.877,558.715992600655,15.161007399344959,0.005,29.9965,1.92103167711073,0.999884541368395,59360.60852278935,-0.123233758936379,,,7.2574797288979,7.030728948475987,1.799961796379487,0.0124157009625657,-9110062.01080411,-9403874.172498897,11021.272157257235,-24.533333332557586,0.1740281795060896,0.1033668544688888
r.HARPS.2021-05-26T14:37:17.393_S2D_BLAZE_A.fits,59360.604364180006,574.0770000000001,558.9160339853198,15.160966014680216,0.005,29.9965,1.9142408839236,0.999884638227405,59360.60922907407,-0.124676873589112,,,7.258681276472209,7.031969399969772,1.7999611749415547,0.0125122007949825,-9122653.055374924,-9416768.924660934,11120.467949956928,-25.283333332557056,0.1755788167964489,0.1016131366612096
r.HARPS.2021-05-26T14:38:18.396_S2D_BLAZE_A.fits,59360.60506678,574.215,559.0540749530635,15.160925046936558,0.005,29.9965,1.90755012232563,0.9998848601691986,59360.60993513889,-0.126112619445439,,,7.258401905557428,7.031681179198478,1.7999605597639088,0.0126956392487145,-9125833.13690429,-9420075.077729223,11288.622643213514,-25.599999999224245,0.173799856342577,0.1028264991181375
r.HARPS.2021-05-26T14:39:19.349_S2D_BLAZE_A.fits,59360.605772249866,572.422,557.2611160881457,15.160883911854272,0.005,29.9965,1.90096131753965,0.9998850382720182,59360.61064061343,-0.127556215325656,,,7.257434429796596,7.030682663136545,1.7999599420732242,0.0126604850079938,-9132845.238224857,-9427395.41089279,11267.076410439036,-23.999999999224308,0.173912590024404,0.1039377454909114
r.HARPS.2021-05-26T14:40:20.352_S2D_BLAZE_A.fits,59360.60647831019,571.735,556.5741572576569,15.160842742343075,0.005,29.9965,1.89446216441297,0.9998841231960968,59360.611346666665,-0.129004846006708,,,7.2568056390644555,7.030033749249578,1.7999593238652905,0.0126091689418171,-9120501.66321486,-9414706.993089378,11206.774009990908,-23.483333332558477,0.1732225060043245,0.1039843095295662
r.HARPS.2021-05-26T14:41:21.365_S2D_BLAZE_A.fits,59360.607184479944,573.2290000000002,558.0681984335489,15.160801566451125,0.005,29.9965,1.88805570985422,0.999885156297606,59360.61205283565,-0.130457366285136,,,7.2584264486644985,7.03170698827436,1.7999587055612853,0.0126277614436174,-9145246.05804058,-9440111.196032178,11250.79661347101,-23.766666665891336,0.1736767865532584,0.1047422458980119
r.HARPS.2021-05-26T14:42:22.378_S2D_BLAZE_A.fits,59360.60789063992,574.6230000000002,559.4622396088707,15.16076039112937,0.005,29.9965,1.88174170181999,0.9998845785030546,59360.61275900463,-0.131913563392539,,,7.258176377357511,7.0314490120399675,1.7999580872655818,0.0128773440165183,-9140820.337301489,-9435563.86859478,11469.414042855657,-25.299999999224056,0.1743019532346346,0.1035591932700614
r.HARPS.2021-05-26T14:43:23.362_S2D_BLAZE_A.fits,59360.60859647021,573.999,558.8382807649687,15.16071923503133,0.005,29.9965,1.87552188227078,0.9998830825874748,59360.61346482639,-0.133372464513059,,,7.260266628303268,7.033606800420066,1.7999574692582885,0.0127061768789883,-9130572.560162986,-9424807.66082827,11300.86626333383,-26.016666665890643,0.1745592440391229,0.1009464941673229
r.HARPS.2021-05-26T14:44:24.455_S2D_BLAZE_A.fits,59360.60930356989,573.008,557.8473219950835,15.160678004916559,0.005,29.9965,1.8693807824333,0.9998840606221228,59360.61417193287,-0.134837826540528,,,7.259080434291912,7.032382532908482,1.7999568501392849,0.0127147274084865,-9146494.383067869,-9441343.400730629,11329.77891836191,-24.533333332557696,0.1743439850113687,0.1052825036170486
r.HARPS.2021-05-26T14:45:25.368_S2D_BLAZE_A.fits,59360.61000858992,570.405,555.2443631039366,15.16063689606324,0.005,29.9966,1.86334636299433,0.999883804253318,59360.61487694445,-0.136302440655707,,,7.257654623927377,7.030910908272953,1.7999562328409064,0.0125757566733261,-9152449.818653198,-9447612.21031147,11216.94971841966,-24.216666665891616,0.1749326782056834,0.1036161446806282
r.HARPS.2021-05-26T14:46:26.371_S2D_BLAZE_A.fits,59360.61071464,570.774,555.6134042728506,15.160595727149389,0.005,29.9965,1.85739036883873,0.9998835169774708,59360.615582997685,-0.137772869529097,,,7.257723083508686,7.030981733884632,1.799955614640392,0.0126537573949676,-9164239.898170406,-9459776.453581383,11300.662116425565,-23.249999999224613,0.1735924913651676,0.1068889119113785
r.HARPS.2021-05-26T14:47:27.425_S2D_BLAZE_A.fits,59360.61142126983,572.584,557.4234454755689,15.160554524431127,0.005,29.9965,1.85151582087316,0.999880317249498,59360.61628962963,-0.139247771752818,,,7.258643925529593,7.0319324264562635,1.799954995932002,0.0128043919487928,-9151260.132541718,-9446299.35892178,11418.447182335189,-26.38333333255749,0.1737263175719084,0.1056475911696652
r.HARPS.2021-05-26T14:48:28.348_S2D_BLAZE_A.fits,59360.61212640023,574.248,559.0874865908573,15.16051340914275,0.005,29.9965,1.84573871308663,0.9998714589902988,59360.61699475694,-0.140723149237836,,,7.258229334189426,7.031504625816311,1.7999543785362195,0.0127412694876722,-9133639.179921234,-9428145.375913745,11341.609871719134,-23.899999999225095,0.1736309528090051,0.1008911939412561
r.HARPS.2021-05-26T14:49:29.341_S2D_BLAZE_A.fits,59360.61283235019,573.703,558.5425277539333,15.160472246066607,0.005,29.9965,1.84003873048203,0.9998681045318696,59360.61770070602,-0.14220372319039,,,7.258763047604801,7.032055705241073,1.7999537604225864,0.0128122532591411,-9128722.76675469,-9423024.826404724,11398.159194130369,-24.349999999224604,0.1744580662487936,0.1056132707138601
r.HARPS.2021-05-26T14:50:30.374_S2D_BLAZE_A.fits,59360.61353874998,571.601,556.4405689432385,15.160431056761501,0.005,29.9965,1.834417982063,0.999864522930123,59360.61840710648,-0.143688673750357,,,7.25695283509236,7.030187276144637,1.799953141914837,0.0128141644390839,-9134528.394069402,-9429171.531675965,11410.064610480924,-24.499999999224585,0.1730902890877684,0.1015683967863148
r.HARPS.2021-05-26T14:51:31.418_S2D_BLAZE_A.fits,59360.61424526991,571.626,556.4656101395489,15.160389860451144,0.005,29.9965,1.82887815279603,0.9998619261196864,59360.619113622684,-0.145177235346683,,,7.25732890724557,7.030575636589244,1.7999525233016327,0.0129077060769914,-9136340.33269994,-9431009.668378128,11494.602668797015,-24.716666665890784,0.1739943158163985,0.1051762351136882
r.HARPS.2021-05-26T14:52:32.381_S2D_BLAZE_A.fits,59360.61495087016,571.838,556.6776512822337,15.160348717766258,0.005,29.9965,1.82342612114697,0.9998566200296382,59360.619819224536,-0.146667289958128,,,7.255524126014273,7.028712789770668,1.799951905493424,0.0129204250940666,-9139631.934386158,-9434561.06206794,11512.547615660918,-24.483333332558143,0.173968457428336,0.1043974591889865
r.HARPS.2021-05-26T14:53:33.384_S2D_BLAZE_A.fits,59360.61565691978,572.612,557.4516924511205,15.160307548879562,0.005,29.9965,1.81805021796665,0.999855266785147,59360.62052527778,-0.148161636127022,,,7.257229846868142,7.030473697671549,1.7999512872915044,0.0126082256658019,-9145040.80989288,-9439998.77822776,11239.054278538551,-25.6999999992239,0.1748672585497301,0.1017399563738343
r.HARPS.2021-05-26T14:54:34.347_S2D_BLAZE_A.fits,59360.61636250978,574.286,559.125733593208,15.160266406792024,0.005,29.9965,1.81275638971273,0.9998521646771688,59360.621230868055,-0.149658348638187,,,7.258282787210398,7.031560751818258,1.7999506694917469,0.0127471338352567,-9147538.961656421,-9442487.512257986,11364.63539089131,-23.26666666589139,0.1754249613041824,0.1000991847847324
r.HARPS.2021-05-26T14:55:35.351_S2D_BLAZE_A.fits,59360.61706855986,573.539,558.3787747621218,15.160225237878173,0.005,29.9965,1.80753669696564,0.9998435195701256,59360.6219369213,-0.151159316826848,,,7.256501581259795,7.02972225708036,1.7999500512889015,0.0127950499590338,-9144142.925164351,-9439133.605725065,11406.790787491678,-23.63333333255879,0.1745300310765628,0.1019722642495747
r.HARPS.2021-05-26T14:56:36.344_S2D_BLAZE_A.fits,59360.617774500046,571.854,556.6938159246279,15.160184075372229,0.005,29.9965,1.80239450406184,0.9998376021929376,59360.6226428588,-0.152663357568681,,,7.255831396660661,7.029030608466173,1.7999494331820185,0.0127803371023707,-9146771.174939075,-9441903.608906878,11397.317865048031,-24.43333333255815,0.1739769969430784,0.1038640695430464
r.HARPS.2021-05-26T14:57:37.367_S2D_BLAZE_A.fits,59360.618480800185,572.375,557.2148571081223,15.16014289187768,0.005,29.9965,1.79732544272401,0.9998375325736824,59360.623349155096,-0.15417123856035,,,7.256119652364146,7.02932832308111,1.7999488147597085,0.0130407342331984,-9151052.27269824,-9446298.022203095,11634.377404749594,-25.38333333255782,0.1752641845979705,0.1021012475208682
r.HARPS.2021-05-26T14:58:38.390_S2D_BLAZE_A.fits,59360.61918707984,573.448,558.2878982904222,15.160101709577823,0.005,29.9966,1.79233129579322,0.9998346295433036,59360.62405543982,-0.155682307730548,,,7.257949512052343,7.031217363297691,1.7999481963550787,0.0126916887997295,-9156797.626909323,-9452072.299044749,11327.429198978976,-24.43333333255815,0.174161835272132,0.1053037672876931
r.HARPS.2021-05-26T14:59:39.444_S2D_BLAZE_A.fits,59360.61989371991,573.639,558.4789394937378,15.160060506262214,0.005,29.9965,1.7874086673941,0.9998285002336136,59360.62476207176,-0.157197336175158,,,7.256966737324442,7.030203051434621,1.7999475776346094,0.0129196160910878,-9159494.254200405,-9454939.58668554,11535.91678422252,-25.03333333255764,0.1740973420607025,0.1041547108336223
r.HARPS.2021-05-26T15:00:40.376_S2D_BLAZE_A.fits,59360.6205989602,573.951,558.7909806154341,15.160019384565933,0.005,29.9965,1.78256859854371,0.9998235661052208,59360.625467314814,-0.158712594325471,,,7.255603949971596,7.028796455975091,1.7999469601395015,0.0126811791158854,-9166874.8049348,-9462674.507673314,11333.87701050954,-25.33333333255816,0.1738958576266781,0.1033316687977452
r.HARPS.2021-05-26T15:01:41.360_S2D_BLAZE_A.fits,59360.62130477978,573.891,558.7310217709075,15.15997822909239,0.005,29.9966,1.77779658924884,0.9998264888589184,59360.626173136574,-0.160232136195961,,,7.255662885686636,7.028857451688604,1.799946342136926,0.0128958098786436,-9176427.069769884,-9472529.74910512,11537.49834850723,-26.28333333255783,0.1738935736159493,0.1040938725153205
r.HARPS.2021-05-26T15:02:42.363_S2D_BLAZE_A.fits,59360.62201084988,573.701,558.541062940989,15.159937059010998,0.005,29.9965,1.77309418176528,0.9998268186676682,59360.62687920139,-0.161755367808919,,,7.2565322444190175,7.029755017442212,1.7999457239147374,0.0128666404751414,-9189335.13648092,-9485779.597894017,11526.671287109746,-24.066666665891855,0.17451169551182,0.1027416487940895
r.HARPS.2021-05-26T15:03:43.336_S2D_BLAZE_A.fits,59360.622716549784,572.932,557.7721040894844,15.159895910515557,0.005,29.9965,1.76846453251519,0.9998276403741077,59360.62758490741,-0.163280661262068,,,7.256749142435798,7.029979070493041,1.7999451060164304,0.0128594083130546,-9199016.16996772,-9495754.11722876,11531.268491688445,-24.683333332557787,0.1756321041353398,0.1022753482184674
r.HARPS.2021-05-26T15:04:44.360_S2D_BLAZE_A.fits,59360.623422840144,573.8030000000001,558.6431452724089,15.159854727591203,0.005,29.9965,1.76390070646058,0.9998256972504168,59360.62829119213,-0.164810352326975,,,7.255633133845908,7.0288272147292,1.799944487600867,0.0128337159752656,-9202864.879873086,-9499822.56055309,11515.100008790338,-23.66666666589179,0.1734418401489592,0.1011457267861907
