File Name,Time [MJD],RV [m/s],RV [m/s] (raw),RV [m/s] (correction),RV Err. [m/s],Exp. Time [s],Airmass,Quality,Start Time [MJD],BERV [km/s],Time [eMJD],Instrument,CCF FWHM [km/s],CCF FWHM [km/s] (raw),CCF FWHM [km/s] (correction),CCF FWHM Err. [km/s],CCF Contrast,CCF Contrast (raw),CCF Contrast Err.,BIS [m/s],H-alpha Emission,CaII Emission
r.HARPN.2021-03-23T09-18-37.162_S2D_BLAZE_A.fits,59296.38467745995,462.927,451.61122831051216,11.315771689487867,0.005,300.0,2.1541269846806896,0.9973839786651884,59296.38793011574,-0.138342549768379,,,6.9433067480408805,6.8794569352799595,0.9394577547811835,0.0202929795636135,-8233332.854820985,-8309748.299546386,16346.561790930153,-39.48333333257437,0.1739071695008024,0.1023065018121382
r.HARPN.2021-03-23T09-24-01.508_S2D_BLAZE_A.fits,59296.38842799002,462.56,451.2435825300295,11.316417469970464,0.005,300.0,2.075705047343604,0.9992130569288143,59296.39168412037,-0.143356761535158,,,6.942023785218093,6.878162396955725,0.9394553079513761,0.0203967534420167,-8355401.784106372,-8432978.835450647,16673.980152871958,-39.98333333257459,0.1739455020066185,0.1049968560502084
r.HARPN.2021-03-23T09-29-26.238_S2D_BLAZE_A.fits,59296.39218261978,462.202,450.88493604364817,11.317063956351838,0.005,300.0,2.0037714776327418,0.9992228072079586,59296.39544256945,-0.148568254292085,,,6.942283543186103,6.878424901150222,0.9394528584389654,0.02031876631378,-8462255.016563784,-8540817.78662888,16819.08347838317,-39.88333333257387,0.1726114904760077,0.1029285692156543
r.HARPN.2021-03-23T09-34-51.355_S2D_BLAZE_A.fits,59296.39594937023,462.127,450.8092874702792,11.317712529720874,0.005,300.0,1.937476028858173,0.999048901843314,59296.39920549768,-0.153986617069248,,,6.943685138080507,6.8798398412201704,0.9394504010110034,0.020453926321099,-8554475.45239931,-8633861.460990759,17111.418850522077,-38.66666666590801,0.1732382742995848,0.103522740804709
r.HARPN.2021-03-23T09-40-15.700_S2D_BLAZE_A.fits,59296.39970614016,461.901,450.5826406153936,11.318359384606428,0.005,300.0,1.8765823566778463,0.99918591381276,59296.40295949074,-0.159577185445575,,,6.941014297708332,6.877144540437557,0.9394479500863168,0.0206043949227423,-8630835.248157004,-8710991.968595624,17396.075114779618,-40.69999999924101,0.1732949047394176,0.1032763574879073
r.HARPN.2021-03-23T09-45-40.435_S2D_BLAZE_A.fits,59296.40347089013,463.10300000000007,451.783992386475,11.31900761352508,0.005,300.0,1.820252152077176,0.9991100779788944,59296.406717997685,-0.165363418617657,,,6.938533635358815,6.874641166847003,0.9394454939474084,0.0206474079327166,-8715002.07848146,-8795998.741778597,17606.45888404875,-39.03333333257536,0.17337912715076,0.1066644856010115
r.HARPN.2021-03-23T09-51-07.857_S2D_BLAZE_A.fits,59296.40724349022,463.275,451.95534280589317,11.319657194106801,0.005,300.0,1.768045840082361,0.9991608664875564,59296.41050760417,-0.171342864273849,,,6.9383741096517255,6.874480494832775,0.939443032678988,0.0206835792660705,-8789114.987013625,-8870803.825610492,17787.000439926585,-39.5833333325748,0.1729108732549506,0.1058965007858645
r.HARPN.2021-03-23T09-56-32.207_S2D_BLAZE_A.fits,59296.410998580046,463.368,452.04769624029467,11.320303759705348,0.005,300.0,1.719891617091395,0.9992277938804788,59296.414261655096,-0.177471515550292,,,6.936942147658626,6.873035555800766,0.9394405828263567,0.0208385811164045,-8852811.620038254,-8935126.48868735,18051.697237430333,-38.81666666590877,0.1731213599806119,0.1058933841019839
r.HARPN.2021-03-23T10-01-57.332_S2D_BLAZE_A.fits,59296.41476646019,462.468,451.14704747241063,11.320952527589428,0.005,300.0,1.675038231367599,0.9992517454096392,59296.41802467593,-0.183795104365596,,,6.939538070907237,6.875655943077663,0.939438124621176,0.0209172445425059,-8907742.60188704,-8990504.967583885,18224.707412070664,-38.983333332575086,0.1715112105308975,0.0997550789599622
r.HARPN.2021-03-23T10-07-24.752_S2D_BLAZE_A.fits,59296.41855570022,462.767,451.44539502670085,11.32160497329916,0.005,300.0,1.6331160060830694,0.9992592100358948,59296.42181425926,-0.190326504256111,,,6.938867570513878,6.874979550223609,0.9394356524724602,0.0211462258140442,-8963489.191030651,-9046785.377604697,18538.433906575505,-40.649999999241345,0.1728874879030536,0.1057767092337652
r.HARPN.2021-03-23T10-12-49.484_S2D_BLAZE_A.fits,59296.42230792018,462.323,451.00074895524745,11.322251044752525,0.005,300.0,1.59447764313832,0.9992246341816092,59296.42557273148,-0.196960847849018,,,6.937820589541019,6.873923172905129,0.9394332044680899,0.0210370393854228,-9023267.078900995,-9107143.991903177,18568.222190998687,-37.633333332576015,0.1728647153371813,0.1035495544042235
r.HARPN.2021-03-23T10-18-14.217_S2D_BLAZE_A.fits,59296.426069180015,462.583,451.2601013272729,11.322898672727135,0.005,300.0,1.5583758745783012,0.9988605871778804,59296.42933121528,-0.203773465481778,,,6.936579670195235,6.872671051772518,0.9394307505579501,0.0212165505005613,-9083065.784180142,-9167528.750752635,18853.37435652556,-39.133333332575184,0.1730008367736473,0.1065329077334484
