echelle,harpsn,harps,expres,neid
161,,,,100.70206802148499
160,,85.6643426982622,,99.42903837020211
159,,193.55981040682687,26.032606215065332,220.76826894657142
158,,294.4833096871681,41.94145358246283,332.5947195081125
157,1634.9308783553533,366.22927231797047,58.60721968231041,453.77060059604537
156,1437.3218710466228,382.39793460051334,64.08503056160346,364.29073407190094
155,2001.3300181439085,565.0964048410082,102.89029201682015,665.5076373331939
154,2169.952143382141,670.4099944697736,125.4156030946368,881.8425919952352
153,3133.4346518228986,1050.3972224460738,194.51428175466057,1164.948800324898
152,3533.4417708236256,1308.3271707588583,239.8206150521952,1301.864165983215
151,3794.0247577969276,1546.7167315616211,292.5798660009256,1493.9549801924559
150,4179.011800818037,1805.3201846015684,349.5567805828874,1684.8023319822007
149,4236.740982988279,1965.6688956339701,395.5710090234495,1754.2961155906494
148,4775.126964472532,2402.5512306145683,512.8517612574544,1999.3216152538441
147,5273.5618361947045,2811.444020308695,602.2969146038694,2177.171722550162
146,5767.073067122463,3242.250367603232,709.800520342468,2313.27169583841
145,5928.762975194983,3648.6452589650658,794.5032287136461,2454.122947059638
144,6111.908828488207,3964.969692201249,919.9976082503528,2655.9285661704994
143,6665.790661561405,4620.242706124339,1112.4530928118318,2854.7679199797
142,6743.218978534927,4714.27196642231,1222.3261402854769,3002.6077371348656
141,6564.889006289323,4763.2687755693,1298.0703842456337,3063.9927543467866
140,7429.671423739465,6028.921525648006,1624.6772758383245,3406.109493874501
139,7826.635472799673,6515.081655558861,1813.9633559898214,3594.8603570468917
138,8848.878391533022,7121.248688399394,2115.6713436088444,3889.20147413544
137,9146.511465266838,7649.081940665364,2337.655013820484,4257.229001553111
136,9862.196190874345,8171.566045879883,2654.278112490278,4669.126514626275
135,10389.618761028736,8501.034724599729,2955.359191510065,5015.202246860779
134,10752.53987335335,9127.903312102084,3292.178949020689,5313.683217330715
133,10983.674080796032,9618.956455939206,3617.082248586297,5623.979143970179
132,11335.10800411243,10066.238042812436,3927.860615898935,5779.061639127266
131,11652.630914746882,10617.75021565721,4286.923565213395,6101.849335446873
130,12013.499367167416,10933.117658262305,4620.3116041922785,6375.546390353965
129,12659.267609786992,11729.329418668962,5147.772547116098,6694.048475957551
128,13269.609672375764,12276.022470042582,5606.169529198688,7089.652889179766
127,13853.082331918537,12958.456517043953,6157.6667524007,7379.404278766282
126,12392.783633770323,12397.955021464193,5962.553994983538,7117.087054636612
125,14708.306786372757,13894.241680261668,7115.959830878764,8124.872173894635
124,15326.787648746646,14425.019519084834,7708.931431591145,8663.371795482344
123,16238.211750056013,15157.205967255419,8367.029472709162,8982.78271431964
122,16494.57153458906,15434.572686966352,8818.762480365278,9514.41726673256
121,17324.871486154563,16481.003190191346,9563.758687901449,9975.333267657286
120,17738.69242506019,17139.214957056753,10223.699562679018,10420.005145453399
119,18122.611013864607,18120.417867798544,10912.071761341036,10872.183637023036
118,18339.439298558696,18378.231421604964,11353.26894184257,11197.929720883565
117,19361.004310521308,19718.473882671642,12191.473109927398,11517.75415594307
116,19942.51117104681,20753.726068626678,12928.557197452921,11821.68754413647
115,20230.311984247415,,13534.331063345822,12071.79786067238
114,20630.701487076916,21686.34885699844,14091.233059942924,12408.11731891387
113,21257.662061889412,22322.521782439162,14724.53595562406,12542.163832374092
112,21531.676158394155,23271.860933137887,15293.275202819668,13002.751172559312
111,21750.738008749064,24030.91978934591,15898.631340340597,13349.568124492404
110,21736.504578921038,24578.541774440968,16377.306239081163,13529.243698984703
109,21773.558257673114,25302.49671422827,17043.77058216875,13837.009808162826
108,22198.115985895653,25721.339150782685,17620.339355282882,14161.198630162084
107,22361.336082372643,26246.471161569203,18068.983091993534,14549.43765301614
106,22490.062610445628,26447.56753362509,18571.438004964522,14654.378683392688
105,22827.579199191263,27094.87877440518,19416.577916254304,15106.766069914047
104,22145.573639537746,26745.541914577436,19948.718672767474,14707.6106747472
103,21839.529427749643,26323.497101246478,20529.087760813447,15125.003112731265
102,22289.749649854093,26501.432355491732,21029.800266679817,15214.70571899901
101,22799.77065362472,26640.736856436055,21649.184588960106,15433.29127851585
100,22885.2522156753,26934.14657264238,22371.434925424033,15627.001418538948
99,22827.28922750898,26625.22277435622,23091.21539668764,15636.731427261519
98,22607.070102782447,26416.506034523263,23690.91859409655,15646.786709039086
97,22740.556346216847,25626.463460745115,24325.186788343566,15537.173560781723
96,22645.385550206072,25405.201671013765,25271.992576444187,15900.470446618672
95,22517.11618469524,24568.043489991014,26002.45549623504,16106.4055677845
94,22329.394787244215,24417.649564955816,26738.548255303947,16557.46100207411
93,21807.976067709675,23802.404316201213,26883.112594607042,17015.062389488412
92,20925.12723889252,23626.804730236425,28047.310784127185,17541.14282681349
91,21110.735239127644,23524.095328791973,28329.71270883969,17938.178032004234
90,20572.25651895221,21870.02661061259,28291.53798999661,18215.77596401134
89,19205.734924089575,20652.594521110987,27412.525789290146,18388.955102127842
88,,,28102.771659434242,18716.16924911277
87,,,27330.763314557178,18968.897540499536
86,,,26559.72666588527,19128.203887627285
85,,,24694.495856214522,18753.499348848047
84,,,23295.10889695795,18774.509983082884
83,,,22017.82327536802,18979.362568066612
82,,,20476.476491859594,18867.93632256557
81,,,18633.252822048333,18597.485024251895
80,,,15824.294154664845,18313.604852540517
79,,,14619.172841713636,19220.087503600505
78,,,12592.083981004456,19658.538901468502
